name,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Olivia,263,285,270,281,290,310,288,282,293,291,286,298,283,280,296,293,311,297,309,315,329,325,324,329,329,322,309,314,298,292,265,262,253,263,244,278,270,257,261,259,281,304,303,334,334,354,392,403,390,422,441,463,467,452,465,453,507,510,537,517,531,543,505,484,400,232,196,227,197,210,230,243,228,228,222,248,212,164,134,122,72,61,58,50,50,39,34,27,21,20,16,10,10,5,4,5,7,7,4,3,4,4,4,3,2,2,2,2,2,1,1,1
Emma,34,35,35,38,39,40,41,46,46,45,46,52,50,53,57,57,59,65,67,69,73,76,76,76,85,89,85,90,98,89,94,100,108,115,119,123,132,141,139,147,155,173,181,197,202,212,228,248,267,271,298,311,331,353,342,362,366,387,429,427,421,448,420,450,410,426,457,435,443,428,419,408,413,399,339,264,207,175,160,149,129,122,104,80,74,67,53,36,22,17,17,13,4,2,2,2,2,3,1,2,3,3,2,2,1,1,1,1,1,2,2,2
Ava,508,482,580,492,445,474,482,508,517,542,508,527,589,555,571,577,572,577,595,623,586,556,552,575,544,640,606,626,729,751,771,865,647,754,837,842,738,614,623,538,470,420,432,390,375,390,396,451,494,527,533,623,610,588,617,633,698,727,733,743,773,844,817,1116,977,1008,1302,1220,1087,1042,1233,1026,1209,1471,968,1056,967,957,1019,1028,966,855,855,747,748,736,758,641,358,262,180,132,81,39,25,9,5,4,5,5,5,5,5,5,5,4,3,3,3,3,3,5
Charlotte,99,96,91,87,87,81,80,76,78,79,79,78,76,76,80,77,78,75,73,73,75,75,74,79,72,65,60,67,70,66,55,55,51,47,50,55,64,68,69,71,80,84,89,101,113,129,133,133,140,145,152,147,154,153,158,153,153,164,162,160,167,177,188,195,203,226,245,263,275,287,295,292,309,281,297,267,289,291,286,290,286,282,289,292,291,275,301,302,302,307,291,229,204,184,170,134,125,100,86,68,46,27,19,11,10,9,7,7,6,6,4,3
Sophia,232,241,227,231,230,226,234,234,255,263,282,300,332,351,366,411,472,453,494,521,595,594,583,705,626,712,726,732,746,754,722,730,937,802,733,751,797,939,873,808,961,712,896,810,855,763,874,735,666,585,605,555,438,424,457,410,367,370,392,381,403,388,407,429,473,499,491,464,473,424,374,213,224,212,235,237,246,238,229,256,253,228,212,196,187,169,126,95,73,52,42,37,27,20,15,12,9,6,7,4,2,1,1,1,3,3,4,5,5,4,5,6
Amelia,163,175,160,159,158,163,168,172,182,180,191,200,199,205,216,217,237,235,227,243,239,250,243,245,268,254,256,245,265,288,276,281,298,295,310,312,318,341,330,319,356,346,352,364,383,386,398,396,433,423,421,407,432,430,437,428,454,448,498,455,453,439,456,436,403,389,392,360,334,331,312,288,294,305,231,249,252,254,233,215,193,193,211,220,223,233,222,228,214,218,207,199,138,111,96,84,83,77,68,55,41,30,23,17,15,12,11,8,8,7,6,4
Isabella,318,375,374,386,430,393,419,431,430,397,436,463,438,459,470,492,523,535,537,552,618,550,578,643,712,786,766,698,697,786,794,719,949,823,808,980,930,920,937,1101,1280,1259,1192,1283,1364,1290,1284,1251,1463,1550,1413,1486,1545,1505,1622,1837,1486,1764,2085,2658,2371,2270,2437,2060,2374,2219,2097,2764,2763,3227,1866,2332,1926,2270,1943,2943,1687,1430,1482,1105,905,703,482,321,224,175,151,114,84,60,45,28,14,11,7,6,4,2,2,1,1,2,3,4,4,5,5,4,4,5,7,7
Mia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,1724,2175,1441,1652,2316,1611,0,1532,1523,1870,1258,1082,563,265,330,320,339,456,440,436,454,505,461,505,498,449,401,363,349,332,415,440,456,435,440,412,381,387,344,337,328,331,312,254,179,129,131,121,94,76,43,36,30,17,13,15,14,10,10,9,8,6,6,6,6,6,7,8,8,8
Evelyn,17,16,13,12,11,10,11,11,11,11,12,12,13,12,12,12,13,15,17,19,19,24,23,30,29,31,34,36,38,40,48,50,53,53,57,57,65,72,74,80,86,88,90,94,110,112,120,125,134,134,137,146,153,159,163,176,177,184,193,215,215,234,255,250,274,279,283,288,283,283,291,248,198,222,242,230,242,255,238,240,222,224,202,212,202,196,190,192,179,163,150,128,98,88,84,71,65,55,54,40,39,24,27,20,16,15,12,9,10,10,9,9
Harper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4371,0,4408,3229,2926,1571,2394,2001,1665,1408,1222,1299,1099,913,756,516,440,295,171,118,54,24,16,11,10,10,11,9,9,10,10
